stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5262,3110,NB LK WHATCOM BLVD AT LAKEWOOD N,,48.728867,-122.34245,1,,,,,0
5263,2360,NB LK WHATCOM BLVD AT WOODCLIFF LN,,48.732651,-122.3486,1,,,,,0
5264,2361,NB LK WHATCOM BLVD at 2600 BLOCK,,48.735847,-122.35691,1,,,,,0
5265,3111,NB LK WHATCOM BLVD AT STRAWBERRY E,,48.739071,-122.36703,1,,,,,0
5266,3112,NB LK WHATCOM BLVD AT STRAWBERRY W,,48.738491,-122.3707,1,,,,,0
5267,3113,NB LK WHATCOM BLVD AT EAGLE POINT,,48.738319,-122.37579,1,,,,,0
5268,3114,NB LK WHATCOM BLVD AT CHERRY LN,,48.739189,-122.37939,1,,,,,0
5269,2363,NB LK WHATCOM BLVD AT GRAND BLVD,,48.74049,-122.38194,1,,,,,0
5270,2016,NB LK WHATCOM BLVD at 2800 BLOCK,,48.742668,-122.39084,1,,,,,0
5271,3115,NB LK WHATCOM BLVD AT CORONADO AVE,,48.745037,-122.39339,1,,,,,0
5272,3116,WB CABLE ST AT LAKEVIEW ST,,48.746216,-122.40699,1,,,,,0
5276,2698,NB ELIZA AVE AT DARBY DR,,48.792961,-122.49686,1,,,,,0
5278,2715,WB E BAKERVIEW RD AT DEEMER RD,,48.789825,-122.48167,1,,,,,0
5279,2716,EB E BAKERVIEW RD AT DEEMER RD,,48.789608,-122.48128,1,,,,,0
5290,2967,WB MIDWAY LN AT BAKERVIEW SPUR,,48.785954,-122.4512,1,,,,,0
5291,2968,EB MIDWAY LN AT IRONGATE RD,,48.785786,-122.45033,1,,,,,0
5292,2969,SB IRONGATE RD AT ALPINE WAY,,48.78421,-122.45351,1,,,,,0
5293,2970,NB IRONGATE RD AT ALPINE WAY,,48.783688,-122.45331,1,,,,,0
5294,2971,WB DIVISION ST AT BAKERVIEW SPUR,,48.782322,-122.44922,1,,,,,0
5295,2972,EB DIVISION ST AT BAKERVIEW SPUR,,48.782188,-122.44949,1,,,,,0
5300,2977,NB BENNETT DR AT CHERRYWOOD AVE,,48.780773,-122.51993,1,,,,,0
